timestep,csx0,csy0,csx1,csy1, ,cx0,cy0,cx1,cy1, ,nx0,ny0,nx1,ny1, ,bx0,by0,bx1,by1, ,area_cancer_stem_cells,area_cancer_cells,area_normal_cells,area_blood_cells, ,num_cancer_stem_cells,num_cancer_cells,num_normal_cells,num_blood_cells, ,avg_vegf,avg_lactic,avg_o2,avg_glucose
52,29,38,67,83, ,5,34,71,99, ,34,34,66,63, ,1,1,99,99, ,1794,4422,990,9801, ,49,773,319,8629, ,2.85865,4.36932,25.1775,83.925
53,29,38,67,83, ,5,34,71,99, ,34,34,66,63, ,1,1,99,99, ,1794,4422,990,9801, ,48,744,319,8661, ,2.79428,4.36964,25.2555,84.185
54,29,38,67,83, ,5,34,71,99, ,34,34,66,63, ,1,1,99,99, ,1794,4422,990,9801, ,48,723,319,8689, ,2.74678,4.36949,25.3117,84.3725
55,29,38,67,83, ,5,34,71,99, ,34,34,66,63, ,1,1,99,99, ,1794,4422,990,9801, ,47,697,319,8717, ,2.70555,4.36969,25.359,84.53
56,29,38,67,82, ,5,34,71,99, ,34,34,66,63, ,1,1,99,99, ,1755,4422,990,9801, ,45,660,319,8754, ,2.63555,4.36912,25.4423,84.8075
57,29,38,67,82, ,5,34,71,99, ,34,34,66,63, ,1,1,99,99, ,1755,4422,990,9801, ,45,625,319,8790, ,2.57368,4.36919,25.5173,85.0575
58,29,37,67,82, ,5,34,71,99, ,34,34,66,63, ,1,1,99,99, ,1794,4422,990,9801, ,46,600,319,8816, ,2.5368,4.36921,25.56,85.2
59,29,37,67,82, ,5,34,70,99, ,34,34,66,63, ,1,1,99,99, ,1794,4356,990,9801, ,44,558,319,8860, ,2.45535,4.36922,25.6567,85.5225
60,29,37,67,82, ,5,34,70,99, ,34,34,66,63, ,1,1,99,99, ,1794,4356,990,9801, ,43,535,319,8888, ,2.41097,4.36923,25.71,85.7
61,29,37,67,82, ,5,34,70,99, ,34,34,66,63, ,1,1,99,99, ,1794,4356,990,9801, ,40,513,319,8915, ,2.36597,4.36923,25.764,85.88
62,29,37,67,82, ,5,34,70,99, ,34,34,66,63, ,1,1,99,99, ,1794,4356,990,9801, ,39,488,319,8944, ,2.31847,4.36924,25.821,86.07
63,29,37,67,82, ,5,34,70,99, ,34,34,66,63, ,1,1,99,99, ,1794,4356,990,9801, ,38,464,319,8971, ,2.26365,4.36994,25.8855,86.285
64,29,37,67,82, ,5,34,70,99, ,34,34,66,63, ,1,1,99,99, ,1794,4356,990,9801, ,38,440,319,8995, ,2.22427,4.37008,25.9327,86.4425
65,29,37,67,82, ,5,34,70,99, ,34,34,66,63, ,1,1,99,99, ,1794,4356,990,9801, ,38,412,319,9026, ,2.17677,4.36925,25.989,86.63
66,29,37,67,82, ,5,34,70,99, ,34,34,66,63, ,1,1,99,99, ,1794,4356,990,9801, ,38,385,319,9054, ,2.13302,4.36925,26.0422,86.8075
67,29,37,67,82, ,5,34,70,99, ,34,34,66,63, ,1,1,99,99, ,1794,4356,990,9801, ,39,356,319,9083, ,2.08365,4.36926,26.097,86.99
68,29,37,67,82, ,5,34,70,99, ,34,34,66,63, ,1,1,99,99, ,1794,4356,990,9801, ,39,343,319,9098, ,2.06115,4.36926,26.124,87.08
69,29,37,67,82, ,5,34,70,99, ,34,34,66,63, ,1,1,99,99, ,1794,4356,990,9801, ,37,323,319,9120, ,2.03267,4.36926,26.157,87.19
70,29,37,67,82, ,5,34,70,99, ,34,34,66,63, ,1,1,99,99, ,1794,4356,990,9801, ,37,304,319,9140, ,2.01017,4.36926,26.184,87.28
71,29,37,67,82, ,5,34,70,99, ,34,34,66,63, ,1,1,99,99, ,1794,4356,990,9801, ,38,286,319,9157, ,1.98767,4.36926,26.211,87.37
72,29,37,67,82, ,5,37,69,99, ,34,34,66,63, ,1,1,99,99, ,1794,4095,990,9801, ,38,266,319,9177, ,1.96392,4.36926,26.2395,87.465
73,29,37,67,82, ,5,37,69,99, ,34,34,66,63, ,1,1,99,99, ,1794,4095,990,9801, ,38,245,319,9200, ,1.93475,4.36926,26.2725,87.575
74,29,37,67,82, ,5,37,69,99, ,34,34,66,63, ,1,1,99,99, ,1794,4095,990,9801, ,38,233,319,9213, ,1.921,4.36926,26.289,87.63
75,29,37,67,82, ,5,37,64,99, ,34,34,66,63, ,1,1,99,99, ,1794,3780,990,9801, ,38,213,319,9233, ,1.90267,4.36926,26.31,87.7
76,29,37,67,82, ,5,37,64,99, ,34,34,66,63, ,1,1,99,99, ,1794,3780,990,9801, ,36,202,319,9245, ,1.88392,4.36926,26.3325,87.775
77,29,37,67,82, ,5,39,64,99, ,34,34,66,63, ,1,1,99,99, ,1794,3660,990,9801, ,36,187,319,9261, ,1.86767,4.36927,26.352,87.84
78,29,37,67,82, ,7,39,64,99, ,34,34,66,63, ,1,1,99,99, ,1794,3538,990,9801, ,35,172,319,9277, ,1.84392,4.36927,26.3805,87.935
79,29,37,67,82, ,13,39,64,99, ,34,34,66,63, ,1,1,99,99, ,1794,3172,990,9801, ,34,159,319,9291, ,1.82267,4.36927,26.406,88.02
80,29,37,67,82, ,13,39,64,99, ,34,34,66,63, ,1,1,99,99, ,1794,3172,990,9801, ,32,148,319,9305, ,1.80267,4.36927,26.43,88.1
81,29,37,67,82, ,13,39,64,99, ,34,34,66,63, ,1,1,99,99, ,1794,3172,990,9801, ,31,144,319,9313, ,1.80017,4.36927,26.433,88.11
82,29,37,67,82, ,13,39,64,99, ,34,34,66,63, ,1,1,99,99, ,1794,3172,990,9801, ,29,139,319,9322, ,1.79267,4.36927,26.442,88.14
